Date,spread,zscore,long_signal,short_signal,exit_signal
2019-12-31,21.71902426909749,2.264112655373405,False,True,False
2020-01-02,21.568188376029646,1.7878974614233272,False,False,False
2020-01-03,21.31494004214288,1.2128498722431529,False,False,False
2020-01-06,21.166983651548378,0.8632124616154524,False,False,False
2020-01-07,21.273584335579315,1.007709930709661,False,False,False
2020-01-08,21.20379094155645,0.8128761527854323,False,False,False
2020-01-09,22.171646834125127,2.423555788123219,False,True,False
2020-01-10,22.425623427249526,2.4754812795099865,False,True,False
2020-01-13,22.533477114976215,2.3087997955735986,False,True,False
2020-01-14,22.32473046838431,1.8394837472696068,False,False,False
2020-01-15,22.44645887791856,1.8378908116129768,False,False,False
2020-01-16,22.46556644542853,1.705085447784831,False,False,False
2020-01-17,22.179544283331005,1.2252347437453068,False,False,False
2020-01-21,22.261897743321498,1.2445297957695693,False,False,False
2020-01-22,22.32786619655524,1.2414143073082695,False,False,False
2020-01-23,22.481430059564005,1.3523206924111617,False,False,False
2020-01-24,22.511061721740717,1.313205948646166,False,False,False
2020-01-27,22.50299861284335,1.2379907023857808,False,False,False
2020-01-28,21.959174351017303,0.43363680327627707,False,False,True
2020-01-29,22.13388875651502,0.6381733336893202,False,False,False
2020-01-30,23.467133512268788,2.37375108743551,False,True,False
2020-01-31,23.452528311016756,2.1098085931938306,False,True,False
2020-02-03,23.51195461199442,2.0377578975869914,False,True,False
2020-02-04,23.597238528029905,1.9809759332679093,False,False,False
2020-02-05,23.34147615439811,1.5313333830942513,False,False,False
2020-02-06,23.4740974301111,1.5787609152597277,False,False,False
2020-02-07,23.418178757895795,1.4166998557453272,False,False,False
2020-02-10,23.906816481342844,1.8661062089734104,False,False,False
2020-02-11,23.64346587827699,1.428256200663766,False,False,False
2020-02-12,23.46346557310121,1.1287693576199795,False,False,False
2020-02-13,23.567497509019617,1.1727923798096789,False,False,False
2020-02-14,23.779537973980837,1.3359526415655745,False,False,False
2020-02-18,23.701579117905133,1.1750803781433894,False,False,False
2020-02-19,23.958807799712147,1.4312973083083291,False,False,False
2020-02-20,23.99985485231889,1.4258556484042357,False,False,False
2020-02-21,24.24006283158704,1.7021370778877778,False,False,False
2020-02-24,23.549963446213006,0.6699496592571316,False,False,False
2020-02-25,23.098914385888733,-0.016364889036146277,False,False,True
2020-02-26,22.66237033396645,-0.6691696602127458,False,False,False
2020-02-27,21.372849141275097,-2.3305837288293536,True,False,False
2020-02-28,21.000812077784026,-2.4820744672398516,True,False,False
2020-03-02,22.065095449273997,-1.1489019772447229,False,False,False
2020-03-03,22.69724725471137,-0.4162958597963317,False,False,True
2020-03-04,23.881478664415873,0.9627572910981906,False,False,False
2020-03-05,22.75713927116881,-0.43165521725115835,False,False,True
2020-03-06,21.48384118033856,-1.858314901769661,False,False,False
2020-03-09,19.83096875015483,-3.0410902039863275,True,False,False
2020-03-10,20.6515933223858,-2.0304482068627685,True,False,False
2020-03-11,20.28185858865072,-2.142020773752557,True,False,False
2020-03-12,18.77779092360664,-2.8113842779308005,True,False,False
2020-03-13,17.107832367095774,-3.118904896422708,True,False,False
2020-03-16,17.431456573955863,-2.4970879339661214,True,False,False
2020-03-17,15.75139033907822,-2.763885162827872,True,False,False
2020-03-18,15.09469450269437,-2.5769317235447944,True,False,False
2020-03-19,12.955644306157552,-2.7923778588162267,True,False,False
2020-03-20,12.725497106236123,-2.4558969368493915,True,False,False
2020-03-23,11.677906366784299,-2.3845061449698624,True,False,False
2020-03-24,11.436903289952738,-2.162269478571479,True,False,False
2020-03-25,13.926641798945262,-1.4369030113864996,False,False,False
2020-03-26,14.697105006213949,-1.169317301918435,False,False,False
2020-03-27,13.167891354827628,-1.415883227001192,False,False,False
2020-03-30,14.122595941453689,-1.1181454828655333,False,False,False
2020-03-31,14.696476879924948,-0.9231290294066958,False,False,False
2020-04-01,13.053701875547624,-1.2174758676774369,False,False,False
2020-04-02,13.471237747140645,-1.0521196491813645,False,False,False
2020-04-03,13.171605627200258,-1.0558645714817294,False,False,False
2020-04-06,14.394892008202753,-0.7124054279109808,False,False,False
2020-04-07,14.40222463765565,-0.658746902107024,False,False,False
2020-04-08,15.188086549249363,-0.41260189883654486,False,False,True
2020-04-09,16.11709001652556,-0.12894320107689333,False,False,True
2020-04-13,14.721335256923432,-0.45499611124565587,False,False,True
2020-04-14,14.863316475320254,-0.3660148004782333,False,False,True
2020-04-15,14.382588108031293,-0.45108672526645144,False,False,True
2020-04-16,13.722480498276035,-0.6124517047495713,False,False,False
2020-04-17,14.212480582252411,-0.3940550189155443,False,False,True
2020-04-20,13.42070088989577,-0.6572622985780913,False,False,False
2020-04-21,13.159031553876424,-0.7234153141355996,False,False,False
2020-04-22,13.045627768321971,-0.7559091498869928,False,False,False
2020-04-23,13.016362657450415,-0.7739680312462686,False,False,False
2020-04-24,12.367457133645722,-1.1983156008548077,False,False,False
2020-04-27,13.692846675793895,-0.19004669553185213,False,False,True
2020-04-28,13.195151225756732,-0.5437126764456465,False,False,False
2020-04-29,14.303530060900535,0.5328367271813362,False,False,False
2020-04-30,13.33683182255026,-0.3459529439316537,False,False,True
2020-05-01,13.575889151278119,-0.1321115337049532,False,False,True
2020-05-04,12.923952412763377,-0.7912172740655801,False,False,False
2020-05-05,12.999398823584471,-0.8134071872292868,False,False,False
2020-05-06,12.568403274999525,-1.4336341730178683,False,False,False
2020-05-07,12.228923486357488,-1.6738936561317277,False,False,False
2020-05-08,13.079448299427128,-0.6805942098819332,False,False,False
2020-05-11,12.472535206643528,-1.3017149047489578,False,False,False
2020-05-12,12.106881579493738,-1.5624551386119911,False,False,False
2020-05-13,11.221957974024754,-2.2067182078107406,True,False,False
2020-05-14,10.952432395724394,-2.1927874383411377,True,False,False
2020-05-15,9.806197913286269,-2.6793668827828885,True,False,False
2020-05-18,11.622010959388895,-1.2097299348389468,False,False,False
2020-05-19,12.124634355967494,-0.7785458650735319,False,False,False
2020-05-20,13.590288051728798,0.3475238045254382,False,False,True
2020-05-21,13.12866184276212,0.05051789472265982,False,False,True
2020-05-22,12.922225095419321,-0.0328080430526364,False,False,True
2020-05-26,14.161859656765955,1.1226472681074944,False,False,False
2020-05-27,14.541020888603143,1.5061231596788889,False,False,False
2020-05-28,14.536832585489712,1.4868893587472019,False,False,False
2020-05-29,14.308925317412175,1.2344369557785249,False,False,False
2020-06-01,14.264579097149856,1.1901733346408359,False,False,False
2020-06-02,14.2631658429503,1.1397171529087349,False,False,False
2020-06-03,15.216411125079254,1.8122237472191631,False,False,False
2020-06-04,15.790074944373785,2.044209084153681,False,True,False
2020-06-05,16.49991918753033,2.263113978203727,False,True,False
2020-06-08,17.316513546846238,2.431592055393107,False,True,False
2020-06-09,16.279499956036815,1.6449585155561521,False,False,False
2020-06-10,15.61405179813741,1.1725210344185852,False,False,False
2020-06-11,14.081863234898954,0.2888320248579691,False,False,True
2020-06-12,13.856413703708533,0.14784290296795582,False,False,True
2020-06-15,14.192225553182993,0.33028478407748935,False,False,True
2020-06-16,14.369397755469237,0.40504650104171336,False,False,True
2020-06-17,14.157253342862134,0.260107509649174,False,False,True
2020-06-18,14.316256352374651,0.3205167560813722,False,False,True
2020-06-19,13.715366582490276,-0.06020065113105759,False,False,True
2020-06-22,13.491963840976112,-0.2012661108661745,False,False,True
2020-06-23,13.315679119755877,-0.3258981758793011,False,False,True
2020-06-24,12.768615747928017,-0.6753792205898794,False,False,False
2020-06-25,12.59337556929676,-0.8392826092072535,False,False,False
2020-06-26,11.843641927751875,-1.373168515679101,False,False,False
2020-06-29,12.104580844228167,-1.4043934317874045,False,False,False
2020-06-30,12.134214666710307,-1.424412560039217,False,False,False
2020-07-01,12.249605124385823,-1.347715792137759,False,False,False
2020-07-02,12.189028738682879,-1.3181380818326212,False,False,False
2020-07-06,12.428294528517512,-1.110747472898178,False,False,False
2020-07-07,12.34185295826363,-1.143102722332717,False,False,False
2020-07-08,12.041906775178738,-1.2671236283937426,False,False,False
2020-07-09,11.253477769864332,-1.6509840478882194,False,False,False
2020-07-10,12.062849422375926,-1.0524331922460788,False,False,False
2020-07-13,12.052115212210559,-0.9956875035531989,False,False,False
2020-07-14,12.522008670570536,-0.6586155192730805,False,False,False
2020-07-15,13.50232768513905,-0.025906248241956698,False,False,True
2020-07-16,13.205572967268004,-0.17436124002290634,False,False,True
2020-07-17,13.683633482171238,0.18612470154121702,False,False,True
2020-07-20,13.365048636036995,0.04623632413410128,False,False,True
2020-07-21,14.120234342865025,0.7999930290635796,False,False,False
2020-07-22,15.01143527672398,1.75525976643448,False,False,False
2020-07-23,14.54813320989848,1.4467181924595418,False,False,False
2020-07-24,15.009132946967988,1.8002762460948494,False,False,False
2020-07-27,14.602951036666894,1.3489566326192484,False,False,False
2020-07-28,14.374311694654466,1.1206186663363318,False,False,False
2020-07-29,14.078973985778823,0.8607737082279474,False,False,False
2020-07-30,13.808027583785794,0.6208729744246457,False,False,False
2020-07-31,13.365412564176317,0.23342032083452527,False,False,True
2020-08-03,12.661643103404238,-0.4199946430451856,False,False,True
2020-08-04,12.862164230289544,-0.20372039617904314,False,False,True
2020-08-05,13.69237777133327,0.5945486954843001,False,False,False
2020-08-06,14.048344919887512,0.8887325221748493,False,False,False
2020-08-07,14.151798028696732,0.9281403540746975,False,False,False
2020-08-10,14.25881888382348,0.9655876702448236,False,False,False
2020-08-11,14.680442016957393,1.2797429606317934,False,False,False
2020-08-12,14.520960939000716,1.0553689578284096,False,False,False
2020-08-13,14.397138660817248,0.8756846687745757,False,False,False
2020-08-14,14.600020580621894,1.0056746535563565,False,False,False
2020-08-17,14.271432003766762,0.6329816382535459,False,False,False
2020-08-18,14.434676370368372,0.7413849674585433,False,False,False
2020-08-19,13.793161373364917,0.030659041626783852,False,False,True
2020-08-20,13.706719803111028,-0.17427755982941054,False,False,True
2020-08-21,13.700698074702224,-0.27504781675986106,False,False,True
2020-08-24,14.100334643766395,0.20495634884327893,False,False,True
2020-08-25,14.123997631509958,0.17517866660752124,False,False,True
2020-08-26,14.086091150446833,0.07712247033425743,False,False,True
2020-08-27,14.17331784861127,0.180509722779563,False,False,True
2020-08-28,15.394363611903373,2.129132585846863,False,True,False
2020-08-31,15.064832845614731,1.4646735640816464,False,False,False
2020-09-01,14.868916438142826,1.07319908018835,False,False,False
2020-09-02,15.93001375360663,2.5077149604276596,False,True,False
2020-09-03,16.184625476698145,2.485905021725267,False,True,False
2020-09-04,16.89473232351395,2.8563677600021826,False,True,False
2020-09-08,16.454629183344075,2.1046732721704364,False,True,False
2020-09-09,16.45075112867788,1.8946873454514734,False,False,False
2020-09-10,16.83902861016994,2.0217484195128215,False,True,False
2020-09-11,17.640651216928667,2.3689419023567275,False,True,False
2020-09-14,17.07902487944905,1.7499996749937812,False,False,False
2020-09-15,17.677403798569237,2.0334426544565116,False,True,False
2020-09-16,17.574892879193534,1.8128545959750648,False,False,False
2020-09-17,17.77290315531466,1.789157968899803,False,False,False
2020-09-18,18.098612169795018,1.8343204034443277,False,False,False
2020-09-21,16.79520759722616,0.8775881736366865,False,False,False
2020-09-22,17.14128253219851,1.0429872387479286,False,False,False
2020-09-23,15.974265712968432,0.2174232842933949,False,False,True
2020-09-24,16.321543846543143,0.41829514322934974,False,False,True
2020-09-25,15.856777631847855,0.06330731528524483,False,False,True
2020-09-28,15.32912723260452,-0.3285216628326755,False,False,True
2020-09-29,15.168446204927747,-0.4721289684787368,False,False,True
2020-09-30,15.264099374313865,-0.42930954055486087,False,False,True
2020-10-01,14.532738037363217,-1.0083481379934651,False,False,False
2020-10-02,15.386983277761082,-0.4273590970689713,False,False,True
2020-10-05,15.438974596130386,-0.456268420154473,False,False,True
2020-10-06,15.54771679359851,-0.42368597594092416,False,False,True
2020-10-07,15.845362807232831,-0.22621759650160514,False,False,True
2020-10-08,16.53865525231113,0.35378531765803783,False,False,True
2020-10-09,16.74347460495845,0.5026214784176561,False,False,False
2020-10-12,16.115458614473866,-0.1782226885377435,False,False,True
2020-10-13,14.898497772464317,-1.4444701199742291,False,False,False
2020-10-14,15.049488566749694,-1.3045810022926592,False,False,False
2020-10-15,15.187715154571528,-1.1100918068899992,False,False,False
2020-10-16,15.153889214278692,-1.0860658777775534,False,False,False
2020-10-19,15.248342433944707,-0.9279219350679733,False,False,False
2020-10-20,15.870957818631389,-0.28210228694971257,False,False,True
2020-10-21,15.638027820350061,-0.4878618875544419,False,False,True
2020-10-22,16.32556705578009,0.2209140667209604,False,False,True
2020-10-23,16.177871674354442,0.12633288420891553,False,False,True
2020-10-26,15.826981904470067,-0.20484948692578675,False,False,True
2020-10-27,15.666146035477183,-0.3247314156285371,False,False,True
2020-10-28,14.944210630813636,-1.098420074393083,False,False,False
2020-10-29,15.048503575900895,-0.9436390592124106,False,False,False
2020-10-30,15.260759505647002,-0.6579316122406057,False,False,False
2020-11-02,15.363058715033667,-0.4446242442912678,False,False,True
2020-11-03,15.627977979430206,0.0944305264868888,False,False,True
2020-11-04,15.246194945504833,-0.5887092973753146,False,False,False
2020-11-05,15.469440685397458,-0.11194906626528521,False,False,True
2020-11-06,15.398237851872302,-0.22473418277604426,False,False,True
2020-11-09,18.5010135352127,3.908007989091085,False,True,False
2020-11-10,19.106349368497092,3.4640295615531516,False,True,False
2020-11-11,18.169911484427544,2.1927813695304152,False,True,False
